id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
olLiNZUj0ezbSaro,CS Syllabus for 568,multi reasoning,What will happen if I forget to read the material for a class?,"In class, students will be randomly selected to answer questions from other students and/or asked to summarize a paper. If it is clear you have not done the reading, this will have a negative impact on your class participation grade, which is worth 30% of your overall grade.  ",,,,,,"In class, students will be randomly selected to answers others students questions and or asked to summarize a paper.",Reading Report & Class Participation* 30%,,,
qrFpVHbvwPeSAa6n,MIE 302 Spring 2022 Syllabus-v1,multi reasoning,"If I don't use safety equipment during the lab, will I still pass?","You can fail to use safety equipment one time during the course, which will result in a zero for that lab. You will still pass given you do well in all other areas of the course. If you fail to use safety equipment twice, you will receive an F in the course. ",,,,,,The first infraction will result in a zero for that lab. ,A second infraction will result in an F for the entire course.,,,
IgmBaavI0QdXHTFn,MIE 302 Spring 2022 Syllabus-v1,yes/no,Do I tell the instructor if I'm feeling sick?,Yes," if you are unwell, please stay home 
and inform the instructor! – t",,,,,,,,,
ypMqWlGgztV80kdB,MIE 302 Spring 2022 Syllabus-v1,single reasoning,Are there any specific activities that are prohibited during lab sessions?,Eating and drinking outside foods are not permitted during the lab.,,,,,,Food and drink may not be brought into the lab.,,,,
PELZ99XY7VbGjOk8,MIE 302 Spring 2022 Syllabus-v1,single factual,How much of my grade will lab quizzes make up?,Lab quizzes (including syllabus quiz) will account for 15% of your final grade. ,"Lab Quizzes: 15% (equal weights for all labs, including syllabus quiz)
",,,,,,,,,
raJC1lEjruA0rwJD,GEOG468668syllabusGIS_2023,single factual,How many credits is the course worth?,This course is worth 3 credits. ,3 cr,,,,,,,,,
dRbsOWPvYqfazRKh,GEOG468668syllabusGIS_2023,yes/no,Is trigonometry a prerequisite for the course?,Yes,"High school math and geometry, including Trigonometry",,,,,,,,,
R7NZ9gXW2xGxZKai,GEOG468668syllabusGIS_2023,single reasoning,Can I submit my homework assignments after the deadline?,"No, you cannot submit your homework assignments after the deadline since the syllabus states that late submissions will not be accepted.",,,,,,The syllabus states that late submissions will not be accepted.,,,,
Zbzf3CPSzq1r0Kn2,270 Syllabus Fall 2022 (1),yes/no,Is there a policy on academic honesty for this course?,Yes,There is a policy on academic honesty for this course.,,,,,,,,,
dLiP2UDAovPkKJSn,270 Syllabus Fall 2022 (1),single factual,Do I need to wear masks in this class?,You need to follow university wide policy for mask usage in this class.,"Mask Policy
Students are expected to adhere to university policy regarding face coverings and COVID
precautions.",,,,,,,,,
8JRp7XTZEQHs0qsY,270 Syllabus Fall 2022 (1),summarization,What are the policies for working in teams during this course?,"Students will work on teams throughout the entirety of course, which will be determined during the first in person lab meeting, and will remain the same throughout the semester. Lab participation and and much of the extra credit grades will be based on team submissions. Each team member is expected to contribute equally.  5% of the semester grade will be based on peer review of the team contribution.","In order to increase engagement with your classmates and the course material, students
will be working as part of a team throughout the semester. T","Teams will be assembled
during your first in-person lab meeting. You will be part of the same team throughout the
semester. ","Your lab participation grade and a significant portion of your lecture extra credit
grade will be based on team submissions. Even though the assignments will be tackled as
a team, both the volume and difficulty of the work will not exceed what would be expected
of an individual student. However, in order to gain benefits of working as a group, each
team member should contribute equally to your group’s success. 5% of your semester
grade will be based on peer review of your team contribution.","Actively participating with
your teammates will improve your scores on individual assignments and earn a perfect five
percentage points towards your final grade. Please note that your team participation grade
will include participation both to lecture and lab.",,,,,,
DO7BXnjblLzof3fh,num_analysis_redacted,summarization,Could I get an overview of the class's academic honesty policies?,"All programs at the university prohibit academic dishonesty, which covers the following, among other things: cheating, fabrication, plagiarism, and facilitating dishonesty. Students who violate this policy will face appropriate sanctions. You are also required to bring others' violations of these policies to the attention of the appropriate course instructor should you become aware of them. Ignorance of the academic honesty policies is not an acceptable excuse for not adhering to them.","Academic dishonesty is prohibited in all programs of the University. Academic dishonesty includes but is not limited to: cheating, fabrication, plagiarism, and facilitating dishonesty. ",Appropriate sanctions may be imposed on any student who has committed an act of academic dishonesty,"Any person who has reason to believe that a student
has committed academic dishonesty should bring such information to the attention of the appropriate course
instructor as soon as possible.","Since students are expected to be familiar with this policy and the commonly accepted standards of academic integrity, ignorance of such standards is not normally sufficient evidence of lack of intent",,,,,,
LaZ0UdREN7YNnxiV,num_analysis_redacted,summarization,Can you give an example of some topics that are covered in this course?,"The course will cover a variety of topic pertaining to mathematical concepts such as apporx. theory, numerical integration and differential. There will be a variety of disciplines such as homework, exams and projects. ","There will be regular homeworks, exams, and programming projects.",4. Approximation Theory,5. Numerical integration and differentiation.,,,,,,,
nPGIVbhYw4rrBhrq,num_analysis_redacted,yes/no,Will there be programming projects in this class?,Yes,"There will be regular homeworks, exams and programming projects.",,,,,,,,,
IBsMvbkYQRAMbNZM,BDES-Syllabus-2021-v1rsb,yes/no,Is the office number 444?,No,Office: GSE 439,,,,,,,,,
5ftqLW1D9NSBMKXF,BDES-Syllabus-2021-v1rsb,single reasoning,Is there a class in February?,"No, the course runs in Fall.",,,,,,February is not in Fall.,,,,
UpiXnEAL6neVoIq1,BDES-Syllabus-2021-v1rsb,multi factual,How are grades determined?,"Grades are determined by Project Proposal, Needs Assessment, Risks and Challenges, Final Project, and Class Participation.",Project Proposal,Needs Assessment,Risks and Challenges,Final Project,Class Participation,,,,,
a2sNkCVKlsHxNfjj,Teaching Math in Elementary School 2 Proposed Syllabus,summarization,What are some components of the Cognitive Interview Project?,"Some of the components of the Cognitive Interview project include: giving the child's age, grade level, and any other relevant background info; Include intervew sheets from the tasks; describe the child's thinking for each topic area; and interpreting the child's understanding of each topic.","Gives child’s age, grade level, and any other relevant background information about child. Do not give child’s name. Also state which two interviews were administered to the child.","Include interview sheets from both tasks, with all blanks, tables, and notes, etc. filled in, and
all questions answered","Describe the child’s thinking for each topic area, including the types of problems given, the strategy the child used to solve each problem, and whether they were successful or unsuccessful at solving the problems.","Interpret the child’s understanding of each topic, using chapters we’ve covered in TD and TCM, as well as articles we’ve read for homework or in class. Cites specific page numbers
and gives specific quotes when referring to these references. Uses readings and evidence from the interview to justify ideas about each child’s level of understanding",,,,,,
Bmh9aGwS648OUG4M,Teaching Math in Elementary School 2 Proposed Syllabus,summarization,can you provide some details on the Quizzes?,"Quizzes will be every Monday, it will be submitted via moodles, each quiz has the same weight, the final score will be the average score",There will be weekly quizzes about the material discussed in the week. ,The quiz will be on Monday.,"Submission requirements:
■ On Moodle ","Grading policy:
■ Each quiz has the same weight
■ The averaged score will be used as the final score",,,,,,
rjUuEQdLH8gxLwHC,Teaching Math in Elementary School 2 Proposed Syllabus,multi factual,"What are some things that can hurt my grade, besides test scores?",Failure to contribute on a group project or missing too many classes can negatively affect your grade.,"Group members who did not contribute appropriately will have a
reduced grade","If you miss 3 or more in-person class meetings (assuming the course meets once per week for a regular
semester), the instructor reserves the right to assign an F as your grade in the course. ",,,,,,,,
gywyZnMa2fTwcnlw,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,multi factual,What will count towards one's final grade in the class?,"The final grade will be based upon the problem sets, the reading and discussion reflections, class attendance and participation, the genetic testing report, and the genetic testing presentation.","There is a total of 263 possible points for 497
* Problem Sets (11 @ 15 pts) 165 pts",* Reading and Discussion Reflections (10 @ 2 pts) 18 pts (can drop 1),* Attendance and Participation (This will be used to boost your grade if you are within 1% of the next highest grade),* Genetic Testing Report 40 pts,* Genetic Testing Presentation 40 pts,,,,,
RfdVrMvvNZCdWu8t,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,single reasoning,"If I fail all of the problem sets, will I fail the course for 497?",You will fail the course if you fail all of the problem sets.,,,,,,Problem sets account for 63% of the mark.  37% of the mark comes from reading/discussion reflections & the report/presentation. The 1% mentioned for attendance/participation would only be used if someone was close to another letter grade.,,,,
bzgyx3GxJJedoNvr,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,summarization,How are grades determined in the 697 class?,"There are a total of 278 points. 180 points come from the problem sets, 18 points come from reading and discussion reflections, 40 points come from the genetic testing report, and 40 points come from the genetic testing presentation.","There is a total of 278 possible points for 697
* Problem Sets (12 @ 15 pts) 180 pts",* Reading and Discussion Reflections (10 @ 2 pts) 18 pts (can drop 1),* Attendance and Participation (This will be used to boost your grade if you are within 1% of the next highest grade),* Genetic Testing Report 40 pts,* Genetic Testing Presentation 40 pts,,,,,
5B2HKnSL2aRvaopd,ResEcon-213-Fall-2022,single factual,What is the text book requirement for the course?,"The text book is Applied Statistics in Business, 7th Edition. with authors David P. Doane, and Lori E. Seward.","Text: Applied Statistics in Business & Economics by David P. Doane and Lori E. Seward, 7th edition",,,,,,,,,
hWTLB4nc6rUzKHjm,ResEcon-213-Fall-2022,multi reasoning,"If you miss class and don't turn in homework, by how much will your score be affected?","If you miss class and are late turning in homework, your grade will be impacted by up to 15%",,,,,,Attendance counts for 3% of your grade,Homework is 12% of your final grade,,,
emYrQlpL7gtC2eqD,ResEcon-213-Fall-2022,yes/no,Does this course have prerequisites? ,Yes,"Successful completion of Rec-Econ 212 or Stat 240 are appropriate prerequisites. Please talk to me
if you are relying on any other coursework as a prerequisite.",,,,,,,,,
WwKQtXkWdBKHbG6i,Syllabus_ISE4100_Au22_v3_redacted,multi factual,How are the various modules of the courses Stochastic Modeling and simulation had been delivered?,The lecture and the lab component of the course can be delivered in person and Office hours and TA will be delivered via online through Carmen Zoom.,The lecture component of this course is delivered in-person. The two lectures each week will also be accessible synchronously via CarmenZoom.,The lab component of this course is in-person. Details on software use are given in the “technologies to access labs” section,"Mode of delivery of office hours: Office hours by the instructor and the TA will be online via
CarmenZoom. Office hour times are listed in the Course Overview section",,,,,,,
7lnDoZpGJxn0iEM3,Syllabus_ISE4100_Au22_v3_redacted,summarization,What items should I acquire or bring with me to class?,"You can acquire Discrete-event system simulation 4th or 5th edition, and if you want more information on arena software, the simulation with arena book. Neither are required though. If you have PC you should get the free version of ARENA software, or on the mac setup your remote desktop software.","We will have two (non-required) textbooks. The first one will be
used in the lectures and the second one will be used in the labs.
• Jerry Banks, John S. Carson II, Barry L. Nelson, and David M. Nicol, Discrete-Event System
Simulation, 5th edition, Prentice Hall, 2010
• W. David Kelton, Randall P. Sadowski, and Nancy B. Zupick, Simulation with Arena, McGraw
Hill.
I recommend (but do not require) obtaining a copy of the first textbook if possible, as we will be
following that book closely. The US edition or the International edition are the same as far as I can tell,
and the 4th edition is largely similar to the 5th edition too, so all these editions can work. The second
textbook on the Arena software is a good reference if you are looking for one, but not required.","We will use the ARENA software in the lab. This software is available
on computers in OSU Baker Systems labs, and via remote access.
A free student version of the software is available for Windows devices and can be obtained from the
software’s website; the capabilities of this free version are sufficient for the lab, and therefore you may
choose to use this on your personal device to complete labs if you’d like. A Mac version is not available;
therefore, if you are a Mac-user, you can plan to use remote desktop to access ARENA on OSU computers
when not on campus. Finally, note that while the free student version will have sufficient capabilities for
completing the labs, you will likely need the full licensed version, available on Baker System computers,
to complete the course project.",,,,,,,,
rFplk5saBDTyBGKO,Syllabus_ISE4100_Au22_v3_redacted,summarization,How many tests are required to be completed?,"There are 3 quizzes, a midterm, and a final exam that are required tests to complete this course.",We will have our midterm exam and a comprehensive final exam. There will also be quizzes which include both the methodology part and the application (software) part.,"The midterm will be on Wednesday, October 12th, during class time.","By the university's Autumn 2022 Final Examination Schedule, the final exam will be on Wednesday, December 14th, 10am-11:45am.",Tentative dates for quizzes are given in the course outline. Quizzes will be online through Carmen.,"9/1 Quiz 0, 9/21 Quiz 1, 11/7 Quiz 2",,,,,
PrteEIvvuXMCHLt4,FS542_food chem2,multi factual,How often will there be quizzes?,There will be a total of 4 online quizzes for this course.,Online quizzes: there will be 4 online quizzes on moodle,Online quiz-1 9/26,Online quiz-2 10/17,Online quiz-3 11/21,Online quiz-4 12/5,,,,,
Wcdb3dAutXHYBnB6,FS542_food chem2,multi reasoning,Will I have the same amount of time to work on the makeup exam as the students taking the regular final exam?,"No, students taking the makeup exam will have 2 hours whereas the students taking the regular final exam will have a 48 hour window to complete on it.",,,,,,"The final exam will be open from
12/12/2022 10:10am to 12/14/22 10:10am = 48 hours",The Make-up exam is on 12/19/2022 from 10:30AM - 12:30PM = 2 hours,,,
5pq7s7okC6pufJYK,FS542_food chem2,yes/no,Are online quizzes taken on Moodle?,Yes,Online quizzes: there will be 4 online quizzes on moodle,,,,,,,,,
hCXWkgDm3iv8y6di,FS542_food chem2,single factual,What topic are we going to be covering on November 28?,We will be covering food allergens on November 28.,Food allergens 11/28,,,,,,,,,
aG2qVFPTdlsCDEpK,101-f22-syll,summarization,Can you tell me about the exams required for the course?,"There will be two in-class exams for this course, a midter exam on October 24th and a final exam on December 12th. Each exam counts for 10% of the overall course grade for a total of 20% for both exams.",There will be a in-class midterm exam on October 24.,There will be an in-class final exam on December 12,Exams (2*10 = 20%),,,,,,,
ens9X911Br7sKWKn,101-f22-syll,multi factual,How will my grade be determined?,"Your grade will be a combination a 4 requirements. Homework assignments which will be 50% of the grade, Writing project which will be 15% of the grade, group problem solving which will be 15% of the grade and exams which will be 20% of the grade.",1. Homework Assignments (10*5=50%),2. Writing Project (3*5=15%),3. Group Problem Solving in Sections (10*1.5=15%),4. Exams (2*10 = 20%),,,,,,
hTiPxD4UhwwZTnzI,101-f22-syll,multi factual,What are the main things we will accomplish in this course?,"During this course, we aim to explain language as a mental phenomenon, discuss commonalities in anguage, discuss dialect prejudice and other misconceptions, talk about social issues in relation to language, and use critical thinking when it comes to language.",1) explain what is meant by language as a mental phenomenon.,2) discuss commonalities among all human languages (signed and spoken).,"3) discuss misconceptions about and attitudes toward dialects, in particular dialect prejudice.",4) investigate issues related to language in social contexts.,"5) develop and practice the skills of critical thinking, reasoning, communication, and integration
of knowledge and perspectives, including:  a) Communicating persuasively and effectively orally and in writing;
b) Working effectively and collaboratively (in groups, across perspectives). 
",,,,,
0BLtgmE0gtSQq1P4,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,multi factual,What are the expectations for classroom engagement and absences in the course?,"Active classroom engagement and participation are expected. Students should attend class, participate in discussions, and come prepared with questions. Absences may be excused or unexcused, with deductions for unexcused absences.","Attendance should be regular, with prompt communication for missed assignments and discussions. Unexcused absences will result in point deductions.","Active class engagement and consistent participation are expected, with points awarded based on the level of involvement",,,,,,,,
n5np5Zarin7jHivQ,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,multi factual,What types of electronic devices are allowed in class?,You are allowed to bring a mobile phone and a laptop to class.,You are allowed to bring a mobile phone to class,You are also allowed to use a laptop in class to take notes ,,,,,,,,
cRZixgQs1UcrKgLG,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,multi reasoning,I will be unavailable to present a final project the weekends of December 2 an December 9. Will I still pass the course with a C grade if i miss the final project?,"No, you will not be able to get an C if you miss the final project, because a C grade requires a score of 70 and above. The final project accounts for 40% of your grade. Assuming a perfect score in the rest of the assessment components (attendance, weekly essays, and classroom engagement) the maximum score possible is 60 if you miss the final project.",,,,,,Final project carries 40 points. 100 minus 40 leaves 60 points.,Student requires 70 and above to get a C. Student cannot pass course if they omit the final project.,,,
rpQ9g8vgBTDk5bnO,Honors 391AH - AA Media Pop Culture - Fall 2022 Syllabus,multi reasoning,"I will have to miss the first day of class on September 9, will that prevent me from getting a perfect score on attendant?","No, that will not prevent you from getting an A grade in the class, because attendance carries a maximum of 10 points, leaving 90 more possible points to get an A. It is advised that you contact the instructor ahead of time to verify whether or not this one time absence can be excused.",,,,,,"Whether an absence is “excused” or counted in calculating participation grades is largely at the discretion of the
instructor.","Any student absent -- whether the absence is “excused” or not -- should contact the instructor as
soon as possible to discuss assignments missed, class discussion, etc.",Five points will be deducted for every unexcused absence during the semester.,"Attendance only accounts for 10 points, still allowing for the student to get an A.",
sO1Iysb8QG1euD8l,Syllabus Chem111-Fa22,single reasoning,I've never used the Electronic Homework system before. What type of work can we expect as a student?,In-Chapter Mastery (MAS) OWL homework based on each chapter and also the EOC/Review (end of chapter) which is optional. The EOC is highly encouraged as it is an extra resource to practice and solve problems.,,,,,,There are two types of homework on OWL in this class. In-chapter mastery (MAS) OWL homework of each chapter and  the EOC/Review (end of chapter) which is optional.,,,,
QckLSsejH9RuwS6F,Syllabus Chem111-Fa22,multi factual,what are the types of homework?,"There are two types of homework, both on (OWL) that are (MAS) and the second is EOC/Review.",two types of homework (both on OWL) in this class,(MAS) OWL homework of each chapter,"the EOC/Review (end of the chapter) that is
optional (O) ",,,,,,,
vCQsbd8QumP2IKXA,Syllabus Chem111-Fa22,multi factual,What are valid reasons for missing an exam? ,"Documented Military Service, Varsity Sports, Living in a different time zone and Covid 19. ",military service,religious observance,"varsity
sports,","living in a different time zone,",COVID-19 related issues,,,,,
bzqKjN31NcFFNZCG,Syllabus SPP 697 PM 2023 (clean),single reasoning,I can't afford a $40 Amazon e-book. Can I still take the class?,"Yes, the purchase is optional and thus not required. The manuscript will be distributed for free.",,,,,,The purchase of the Amazon $40 e-book is optional. The manuscript will be distributed for free.,,,,
PuMFTHvTE1TOLZIj,Syllabus SPP 697 PM 2023 (clean),summarization,Will there be any breaks during the semister,There will be on class on March 14 or April 18.,"Course Outline
Session 1 – Course Orientation, Introductions, and Overview of the Evolution of the
Performance Management Movement in the U.S. (February 7)
Session 2 - Creating a Performance Context with Strategic Outcomes, Strategic Foresight,
Strategic Planning, and Enterprise Risk Management (February 14)
Session 3 - Alternative Approaches and Tools for Creating Performance Management
Frameworks (February 21)
Session 4 - Selecting, Defining, and Collecting Data and Performance Measures (February 28)
Session 5 - Analyzing and Using Data and Evidence to Inform Decisions (March 7)
-- Spring Break; No Class on March 14 --","Session 6 - Analyzing and Using Data and Evidence to Improve Performance (March 21)
Session 7 - Creating Incentives and Accountability for Performance (March 28)
Session 8 – Using Evidence and Evaluation Techniques (April 4)
Session 9 – Building Institutional Capacity to Ensure Sustainability (April 11)
-- Patriots’ Day Holiday; No Class on April 18 --",,,,,,,,
VHnSTFaHNjQPm8Ac,Syllabus SPP 697 PM 2023 (clean),yes/no,Will service as a co-moderator count directly as a percentage of the grade in the course?,Yes,"2. Service as Co-Moderator, for two session segments (10%)",,,,,,,,,
QKNGGynCIopPVCAZ,advanced_system_software_design_redacted,summarization,What support is available to me in this class?,"We want students to succeed in this hard time. Reach out to the professor with any concerns or questions. There are also health, mental health, and disability services available on campus that we encourage everyone to use.  ","You are not alone at UMass - many people
care about your wellbeing and many resources are available to help you thrive and succeed.",". Reflect on your role in taking care of yourself throughout the term, before the demands
of exams and projects reach their peak. Please feel free to reach out to me about any difficulty you
may be having that may impact your performance as soon as it occurs and before it becomes too
overwhelming. I encourage you to contact support services on campus that stand ready to assist
you. Please reach out to me for support finding the resources you need.","The University is committed to making reason-able, effective and appropriate
accommodations to meet the needs of students with disabilities and help create a barrier-free
campus. If you have a qualifying disability and require accommodations while participating in
this course, please work with Disability Services to have an accommodation letter sent to me in
a timely manner.","Finally, beyond disability accommodations, if there are aspects of the course
that prevent you from learning or make you feel excluded, please let me know as soon as possible.",,,,,,
GdD0H5ujWygaPdsR,advanced_system_software_design_redacted,single factual,What is the minimum score required to pass the course?,The minimum score to receive a D- in the course is 60.00.,Final Grade Distribution: 60.00 - 62.99 D-,,,,,,,,,
RbQxRNIZqmuCxT8y,advanced_system_software_design_redacted,multi factual,What prerequisites are required for taking this class?,"You need to have previously taken Systems Programming, Hardware Organization, and C Programming language. ","The prerequisites are including Systems Programming,",Hardware Organization,C Programming language,,,,,,,
esraCWYYc8GGP8GS,advanced_system_software_design_redacted,multi reasoning,I will have to miss some classes due to work and might not be able to take the midterm so whats the best grade I can get? ,the best you can get missing half of classes and the midterm is 77.5 or a  C. ,,,,,,Attendance is 5% of grade,Midterm is 20% of grade,Missing half the classes will drop attendance points gained to 2.5%,Not taking the midterm lowers grade by 20%,the grade policy shows that missing 22.5% of the overall  grade will result in a course grade of no more than 77.5%
hWvvJFYd8ILCYVml,ENG 204 syllabus_FA 2021,single factual,How much of your final grade is made up of your score from Reading Exercises?,Reading exercises will make up 15% of your final grade in this course.,"GRADING AND COURSE REQUIREMENTS
Attendance & Class Participation 15% Reading Exercises 15% Discussion Question & Facilitation 10% SCAP (2-3 pages) 15% Group Presentation 15% Final Project 30%",,,,,,,,,
q5gWGzPQ855kAvmD,ENG 204 syllabus_FA 2021,multi reasoning,Can I do  A Music performance for the final project and can it be with a friend of mine the class? ,Yes you can work with other student in class and I musical performance as long as relevant seems to be ok. ,,,,,,You can work with a group or individual. ,You can either write a paper or can do a creative project. ,A creative project is not limited to the list in the sylabus which includes short story or film. ,,
