id,syllabus_name,question_type,question,answer,answer_span_1,answer_span_2,answer_span_3,answer_span_4,answer_span_5,reasoning_step_1,reasoning_step_2,reasoning_step_3,reasoning_step_4,reasoning_step_5
qrFpVHbvwPeSAa6n,MIE 302 Spring 2022 Syllabus-v1,multi reasoning,"If I don't use safety equipment during the lab, will I still pass?","You can fail to use safety equipment one time during the course, which will result in a zero for that lab. You will still pass given you do well in all other areas of the course. If you fail to use safety equipment twice, you will receive an F in the course. ",,,,,,The first infraction will result in a zero for that lab. ,A second infraction will result in an F for the entire course.,,,
rVlMfDabtZXZxfPf,Syllabus_Marine_Microbiome_2022_redacted,yes/no,Can I distribute this syllabus to another without the consent of the instructor.,No,"All materials generated for this class, which include but are not limited to syllabi, in-class materials, and exams, are copyrighted. You do not have the right to distribute
these without written consent of the instructor.",,,,,,,,,
IBsMvbkYQRAMbNZM,BDES-Syllabus-2021-v1rsb,yes/no,Is the office number 444?,No,Office: GSE 439,,,,,,,,,
6JLfgnulqNq9m5LA,Biol582_2022_Syllabus,yes/no,Does this course use iClicker?,Yes,Quizzes will be i&gt;clicker based and there will be 14 of them.,,,,,,,,,
sO1Iysb8QG1euD8l,Syllabus Chem111-Fa22,single reasoning,I've never used the Electronic Homework system before. What type of work can we expect as a student?,In-Chapter Mastery (MAS) OWL homework based on each chapter and also the EOC/Review (end of chapter) which is optional. The EOC is highly encouraged as it is an extra resource to practice and solve problems.,,,,,,There are two types of homework on OWL in this class. In-chapter mastery (MAS) OWL homework of each chapter and  the EOC/Review (end of chapter) which is optional.,,,,
jOk865rU2tHGXmNN,MGMNT 462_ Syllabus - Spring 2023,multi factual,What are the course assignments?,"There are four total projects, two individual and two group. They are 1) Social Entrepreneur Profile, 2) Social Venture Profile, 3) Social Venture Assessment Report (group project), and 4) Social Venture Idea Pitch (group project).","(1) Social entrepreneur profile
You will research and collect information about a social entrepreneur whose work you
find exciting and inspiring. I will post a guide on BBL on what needs to be included in
the write-up and the expected formatting. The assignment should be a maximum of two
pages long, not counting a list of references. There will be an “Assignment” link posted
in the BBL folder for the date when it is due.","(2) Social venture profile
Similar to the “Social entrepreneur profile” assignment, you will conduct background
research and summarize information about a social venture of your choice. All
requirements regarding what information needs to be included and the expected format
will be in a guide posted on BBL. The expected length of your submission is a maximum
of two pages long, not counting a list of references. There will be an “Assignment” link
posted in the BBL folder for the date when it is due.","(3) Social venture assessment report (group project)
Each student will be assigned to a team that will take on the role of a budding social
entrepreneur. The team will undertake a comprehensive assessment of a social venture
preparing to pitch their venture idea to a potential social impact investor. In their
assessment, the team follows the social entrepreneurship process we cover in the
course. Each of the sections of the report corresponds to a content module we cover
this semester. Like in some other courses you may have taken during your Isenberg
experience, you are encouraged to participate in social venture idea / entrepreneurship
competitions, such as Hult Prize or applying to an event like Collegiate Summer Venture
program, which is jointly organized by the Valley Venture Mentors and Berthiaume
Center for Entrepreneurship (UMass).","(4) Social venture idea pitch (group project)
Teams will present their findings from the Social venture assessment report. The length
of the pitch should be 5 minutes maximum. I will post a separate guide for this
assignment with details about the requirements and expectations for presentations on
6 BBL",,,,,,
qr1o3BLXhYU4kmmG,Animlsci581 Syllabus-v4,summarization,What will we be doing in December?,"We will do group presentations, have a reading period, and turn in final projects.","Th, Dec. 2 &lt;PROF_FULL_NAME&gt; Project presentations (3-4 students)","Tu, Dec. 7 &lt;PROF_FULL_NAME&gt; Project presentations (3-4 students)
","Dec. 9, 11 No class Reading Period","W, Dec 15 Final Projects due at noon (40% of grade)",,,,,,
5rNEyoA7OJpOSMYN,CS Syllabus for 568,single factual,What is the policy for late assignment in this course,Late assignment will be rejected,Late assignment will not be accepted,,,,,,,,,
DKI49AckkSxWU23D,JOURNAL 310 (International Journalism) Syllabus - 2022 Spring,multi factual,Does this course have any additional costs besides enrollment?,"Only one book in the required course materials will not be provided for free. However, cost can be avoided if you can borrow the book from a source like a library. ","Over the course of the semester, we will be reading the following eBook, which is made available to you for free (see Moodle):","You will also be assigned two additional texts, videos, or podcasts each week to complement the eBook chapters. All of those materials will be made available to you for free via Moodle","Finally, you will be required to purchase or borrow one of the non-fiction books below for the “Book Discussion” assignment",All of the technology used in this class will be made available to you for free,,,,,,
T5vf576oIMgIa9af,web_syllabus_4670,yes/no,Will I have to purchase a textbook for this course?,No,None. Lecture notes will be provided.,,,,,,,,,
aG2qVFPTdlsCDEpK,101-f22-syll,summarization,Can you tell me about the exams required for the course?,"There will be two in-class exams for this course, a midter exam on October 24th and a final exam on December 12th. Each exam counts for 10% of the overall course grade for a total of 20% for both exams.",There will be a in-class midterm exam on October 24.,There will be an in-class final exam on December 12,Exams (2*10 = 20%),,,,,,,
78BT9z2PYMpQfhqz,syllabus-2,multi factual,How will the topic for my class project be chosen and what does the project consist of?,The topic of the class project will be related to each student's research.  The project includes a final report and a short presentation.,"Ideally, the topic will be relevant to the student’s research.",a final report will be due at the end of the semester,each student will be expected to give a brief presentation (5-10 minutes) on their project,,,,,,,
raJC1lEjruA0rwJD,GEOG468668syllabusGIS_2023,single factual,How many credits is the course worth?,This course is worth 3 credits. ,3 cr,,,,,,,,,
PyEW0u4YaMZMp9Ie,PSYCH 397D syllabus Spring 2023,summarization,Can you give me a breakdown of how quizzes look in this course?,"Quizzes will contain a set of 5-10 multiple choice questions, and are untimed (although they must be completed in one sitting). After completion you will see your final score (but not the correct answers), and if not satisfied, you can complete the quiz again. If you manage to get above an 80%, you will be given full credit.",Each quiz will contain 5-10 multiple choice or true/false questions. ,You can repeat the quiz as many times as you would like.,"You must complete the quiz in one sitting, although it is not timed. ","You will see your score after your attempt, but correct responses will only be revealed after the due date.",You will receive full credit for the quiz if you receive 80% or higher on your best attempt. ,,,,,
ekNeMClpWiQfLNuY,315 Lab Syllabus 22-01-11,single reasoning,Will my grade for the lab notebook be affected if I forget to have the TA and my lab partners sign it?,15% of your grade for the lab notebook comes from having your lab partners and the TA sign it. Without those signatures your grade will be reduced by 15%.,,,,,,"15% of the lab notebook grade depends on your lab partners and the TA signing the notebook and your grade will be reduced if you don't have them sign it,",,,,
WwKQtXkWdBKHbG6i,Syllabus_ISE4100_Au22_v3_redacted,multi factual,How are the various modules of the courses Stochastic Modeling and simulation had been delivered?,The lecture and the lab component of the course can be delivered in person and Office hours and TA will be delivered via online through Carmen Zoom.,The lecture component of this course is delivered in-person. The two lectures each week will also be accessible synchronously via CarmenZoom.,The lab component of this course is in-person. Details on software use are given in the “technologies to access labs” section,"Mode of delivery of office hours: Office hours by the instructor and the TA will be online via
CarmenZoom. Office hour times are listed in the Course Overview section",,,,,,,
hWvvJFYd8ILCYVml,ENG 204 syllabus_FA 2021,single factual,How much of your final grade is made up of your score from Reading Exercises?,Reading exercises will make up 15% of your final grade in this course.,"GRADING AND COURSE REQUIREMENTS
Attendance & Class Participation 15% Reading Exercises 15% Discussion Question & Facilitation 10% SCAP (2-3 pages) 15% Group Presentation 15% Final Project 30%",,,,,,,,,
bzqKjN31NcFFNZCG,Syllabus SPP 697 PM 2023 (clean),single reasoning,I can't afford a $40 Amazon e-book. Can I still take the class?,"Yes, the purchase is optional and thus not required. The manuscript will be distributed for free.",,,,,,The purchase of the Amazon $40 e-book is optional. The manuscript will be distributed for free.,,,,
xVHl0CBJaRA2FfWz,MUSIC-ED 500KU Syllabus S23,summarization,Are there any essential characteristics for evaluation and assessment?,"The candidate will participate in the ongoing assessment, teaching, working as the music education coordinator, and instructing in student teacher seminars, along with the supervising professional, program supervisor, and coordinator of student services. The final grade will be computed using the whole body of information gathered from the aforementioned sources. Once all degree program and license requirements have been satisfactorily satisfied, the educator licensing officer recommends student teachers for licensing.","The candidate, the supervising professional, the program supervisor, and the coordinator of student services will all contribute to the continuing assessment, teaching, serving as the coordinator of music education, and instructing in student teacher seminars.",The entire body of data acquired from the sources mentioned above will be used to determine the final grade.,The Educator licensing Officer recommends student teachers for licensing once all degree program and license criteria have been satisfactorily met.,,,,,,,
7EBPh0RLkTBZOZc8,Sch Mgmt 652 Syllabus - Fully OnLine,yes/no,"Is there a text book for this Federal tax research course?
",Yes,"Yes. The required text book is Federal Tax Research, 12th Edition, Sawyers, and Gill. ISBN: 9780357705933.",,,,,,,,,
Db7m1lXo7ykJW8vR,Spring 2022 SCH-MGMT 697DS Data Science for Business Syllabus,single reasoning,Would I be learning Python in this class? ,"No, you will only be exposed to some and training open-source software such as Python. ",,,,,,"While the main goal of this course is to study analytic decision making at a high level, we will gain some exposure to and training in popular open-source software namely, Python and R",,,,
KTE6ccYigJjIcQ8i,syllabus-RESEC213-2023spring-yp,yes/no,Are midterms important?,Yes,Two	midterms are	worth 35% of student’s final grade.,,,,,,,,,
Qi0o2agy9UVdGkzx,PH224_Syllabus_Spring23,single reasoning,Will material from the first half of the semester be on the final exam?,"The exams are cumulative, so there will be some material from the first half of the semester on the final exam, though the final will focus more on the material from the second half of the semester.",,,,,,The exams are cumulative with the final exam focusing mostly on material from the second half of the semester.,,,,
5eJAB0Rhp7kK5LbA,Syllabus-549,multi factual,Are there any prerequisites for this course?,There are two prerequisites for this course: CE-ENGIN 331 and MATH 331 (or equivalent with permission of the instructor.),CE-ENGIN 331,MATH 331,equivalent with permission of instructor,,,,,,,
a2sNkCVKlsHxNfjj,Teaching Math in Elementary School 2 Proposed Syllabus,summarization,What are some components of the Cognitive Interview Project?,"Some of the components of the Cognitive Interview project include: giving the child's age, grade level, and any other relevant background info; Include intervew sheets from the tasks; describe the child's thinking for each topic area; and interpreting the child's understanding of each topic.","Gives child’s age, grade level, and any other relevant background information about child. Do not give child’s name. Also state which two interviews were administered to the child.","Include interview sheets from both tasks, with all blanks, tables, and notes, etc. filled in, and
all questions answered","Describe the child’s thinking for each topic area, including the types of problems given, the strategy the child used to solve each problem, and whether they were successful or unsuccessful at solving the problems.","Interpret the child’s understanding of each topic, using chapters we’ve covered in TD and TCM, as well as articles we’ve read for homework or in class. Cites specific page numbers
and gives specific quotes when referring to these references. Uses readings and evidence from the interview to justify ideas about each child’s level of understanding",,,,,,
gywyZnMa2fTwcnlw,Syllabus_BIOLOGY497G_BIOLOGY697G_FA22,multi factual,What will count towards one's final grade in the class?,"The final grade will be based upon the problem sets, the reading and discussion reflections, class attendance and participation, the genetic testing report, and the genetic testing presentation.","There is a total of 263 possible points for 497
* Problem Sets (11 @ 15 pts) 165 pts",* Reading and Discussion Reflections (10 @ 2 pts) 18 pts (can drop 1),* Attendance and Participation (This will be used to boost your grade if you are within 1% of the next highest grade),* Genetic Testing Report 40 pts,* Genetic Testing Presentation 40 pts,,,,,
hDgKs9hHeq8MNI2F,Nutr_130H_Syllabus_2021Fall,multi reasoning,What's the max grade I can get in class if both my project presentation and project essay are late?,"If both the presentation and essay are late, your final grade is docked 10% leaving you with a maximum possible grade of an A-.",,,,,,"If the project presentation is submitted late, it's docked 5 points or 5% of final grade.","If the project essay is submitted late, it's docked 5 points or 5% of final grade.",That's a total of 10% of the final grade.,"Assuming all other work is 100%, you can still get 90% which is an A-.",
1MFliV3ZgXmYKANx,UMASS-Math3312023,single factual,Do we have time off for Spring Break?,"Yes, spring break is from March 12-20th.","Spring recess begins (3/12/2023)
classes resume (3/20/2023)",,,,,,,,,
Yf8LBxrC8w92mLpy,syllabus_606,multi reasoning,How many hours per week is the TA available for in person help?,The TA is available for one hour on Thursday from 5:00 - 6:00 pm and one hour on Friday from 4:00 pm - 5:00 pm so the TA is available for 2 hours in person per week.,,,,,,The TA is available on Thursday from 5:00-6:00 pm ,The TA is available on Friday from 4:00-5:00 pm,,,
8Yu9kzneg5Hgadm4,MIE 380 syllabus F22,single reasoning,Is it permissible to use electronic devices especially calculator during exams?,"Yes, you can use a calculator in an examination; it is permitted.",,,,,,"In the test, you may utilize the assigned text, pencil (no pens), and calculator.",,,,
p5cStXX64SWSuXs7,L0,single factual,What do I need to do anything after I register for the exam?,Send confirmation of your registration to the lecturer.,"You need to register for the final exam and send the registration confirmation to the lecturer.
",,,,,,,,,
DO7BXnjblLzof3fh,num_analysis_redacted,summarization,Could I get an overview of the class's academic honesty policies?,"All programs at the university prohibit academic dishonesty, which covers the following, among other things: cheating, fabrication, plagiarism, and facilitating dishonesty. Students who violate this policy will face appropriate sanctions. You are also required to bring others' violations of these policies to the attention of the appropriate course instructor should you become aware of them. Ignorance of the academic honesty policies is not an acceptable excuse for not adhering to them.","Academic dishonesty is prohibited in all programs of the University. Academic dishonesty includes but is not limited to: cheating, fabrication, plagiarism, and facilitating dishonesty. ",Appropriate sanctions may be imposed on any student who has committed an act of academic dishonesty,"Any person who has reason to believe that a student
has committed academic dishonesty should bring such information to the attention of the appropriate course
instructor as soon as possible.","Since students are expected to be familiar with this policy and the commonly accepted standards of academic integrity, ignorance of such standards is not normally sufficient evidence of lack of intent",,,,,,
GIXsXD6DorNvjLCu,syllabus_fall2022-revised2,single factual,Who will utilize the draft of the text Introduction to Statistics for the Life and Biomedical Sciences?,PUBHLTH 490Z will use the draft text Introductory Statistics for the Life and Biomedical Sciences.,PUBHLTH 490Z,,,,,,,,,
e6Ez3cqDJOiOyEMP,BIOCHEM 320 Syllabus SP23 2 Feb 2023,single reasoning,"If I sign up for the class on Feb 13, will the days that I've missed count against my attendance?",No,,,,,,"Attendance starts being counted on that week, so as long as you start right away, it should not be counted against you.",,,,
L3E5hG4K9T5IbohB,MKTG 497G Customer Insight Syllabus S2023,single factual,Where can I access the UMass Coronavirus Plans and Announcements?,This information can be accessed at the following web address:  https://www.umass.edu/coronavirus/,• UMass Coronavirus Plans and Announcements: https://www.umass.edu/coronavirus/,,,,,,,,,
FfBNgtQn9mO4ZqbF,Legal 297BL Syllabus,single reasoning,Are student hours in the morning?,"Yes, students hours are 9-10:30 in the morning.",,,,,,AM means morning.,,,,
j4kSqdCsAHohSP7v,stat-111-syl-spring 2023,multi factual,What are the prerequisites for taking STAT 111 Elementary Statistics?,This four-credit course satisfies the R2 general education requirements for graduation.,"To enroll in STAT 111 Elementary Statistics, students are required to have completed advanced algebra and geometry.","The course is highly computational and involves some algebraic concepts. If students are uncertain about their preparation, they are advised to consider taking Math 100.","The course is highly computational, and some algebra is required. Students who are unsure of their preparation should consider taking Math 100.

","The course covers sampling methods, types of studies, critical reading of statistics in the news, graphical representation of data, central tendency and variability, normal distribution, the basics of probability, correlation versus causation, sampling distributions, confidence interval estimation and margin of error, and hypothesis testing.",Stat 111 is intended for students who have completed advanced algebra and geometry.,,,,,
LA4EOG9sa5S34Wtl,Syllabus Bio 544 lecture S23,yes/no,Are we required to purchase and bring our own binoculars for this course? ,No,"You will also need binoculars and a field guide. See the lab syllabus for field guide recommendations. For binoculars, you are not required to buy a pair just for the course (though every biologist should own binoculars, and this might be a good opportunity to get your pair). However, if someone in your family has some binoculars that your could borrow for the semester, that would be very useful for you. Otherwise, we have some binoculars that you can borrow to use in lab.",,,,,,,,,
KUvh2IERBS2v7VJv,Syllabus_IntroGIS_Fall2022,multi reasoning,How many hours per week does this class require?,"There is a total of 1 hour and 15 mins of lecture time per week and 9 hours of scheduled lab time per week so the minimum amount of time required for the course is 10 hours and 15 minutes. However, since labs may take longer than the 3 hour scheduled time, this course could require more time committment than what is listed.",,,,,,Lectures are on Thursday 11:30a to 12:45,"Labs are Thursday 2:30p to 5:30p, Friday 9:05a to 12:05p and
Friday 1:25p to 4:25p","Labs are an important and integral portion of the course. GIS requires both technical work and
conceptual knowledge to function. Many of these labs will take longer than the three-hour session for which we are scheduled.",,
ytsm2Z5n1J7En3WT,cs466_sp21_info_redacted,yes/no,Does this course require math?,Yes," It is a theory course
with a significant mathematical component.",,,,,,,,,
LiDEz3jO12ombJdf,"CS4501-001_ Privacy in the Internet Age, Fall 2021_1",single reasoning,Will I be able to hand-in my first homework assignment if I miss class on 9/22?,"Yes, the first homework assignment is not due until 9/27.",,,,,,"The first homework assignment is due on 9/27, so they still have time to hand it in.",,,,
M1ZWRJrjCX6AhdE4,soc795E,single factual,What day are office hours?,Office Hours are on Fridays.,Office Hours- Fri – 2:15-3:15pm,,,,,,,,,
Orb5a5j99wXZAMvc,Syllabus_Grounding_S_2023,summarization,Can you tell me about the weekly assignments?,Each student will need to complete the weekly assigned readings and submit a weekly log entry on the readings on Moodle. The weekly log entry is due Wednesday at 1pm (24 hours before class). Graduate students will also need to lead a discussion in one class in the semester.,"Your weekly log entries on the readings will be submitted on Moodle. They’re
due Wednesday at 1pm (24 hours before class).
These entries should consist of: (i) three questions you have about the
readings, and (ii) an attempt to answer one of the three questions you’ve
raised.
The purpose of these assignments is to prompt you to start thinking about
the readings, and to be ready to ask some questions about the readings,
before class begins.","Each graduate student will lead discussion in one of the classes on one of
the topics we discuss. These discussions should an include a handout. These
discussions can be anywhere from 30 minutes to half the class, depending on
what you feel like covering/talking about. (You’ll need to let me know what
you’re aiming for ahead of time, of course!)","All of the readings will be posted as pdfs on Moodle. I’ve describe a *very*
tentative topic-syllabus below. We’ll decide on the actual topics, and readings, as we go, depending on how much background people have, and what
issues people are interested in. The potential readings suggested below come
from Routledge Handbook of Metaphysical Grounding, edited by Michael
Raven.",,,,,,,
WZR3abD35Yo0FY5f,Syllabus_209H_230301,summarization,How do quizzes work in this class?,"Quizzes are a large component of the course grade, making up 30% of the total. A quiz is given every class day that has an assigned reading and is worth 100 points, 10 points per question, which means you get 50 points just for showing up for the quiz. The worst quiz grade will be dropped at the end of the semester. However, if you miss a quiz for a valid circumstance, such as jury duty, family death, illness, religious observance, or military obligation, you can make up that quiz.",Quizzes (30%),"Each quiz will consist of 5 questions (multiple-choice or short answer) and is worth 100
points. If you get all 5 correct, then you will get 100. 4/5 earns 90, 3/5 earns 80, 2/5 earns 70, and 1/5 earns 60. Even if you miss all 5 questions, you will earn 50 points just for taking it.",The lowest grade in this category will be dropped from the final grade calculation. This includes quizzes that are missed because of tardiness or absence.,"Missed quizzes and summary statements due to extenuating circumstances including jury duty, military obligations, religious observance, scheduled activities for other classes, the death of a family member, or verifiable health-related incapacity may be made up in alternative forms only with formal, written documentation.",,,,,,
7078eKPG1l46e6Ih,FIN 408 Syllabus updated v2,single factual,What programming language is used for this course?,R programming is used as part of this course.,"We will use R for our data exercise. You could use the following link to download R on your
computer.
Installing R: https://rstudio-education.github.io/hopr/starting.html",,,,,,,,,
tqvHhHdemovsZODV,1. Syllabus 2023,multi factual,How many different assignments will make up my final grade and how much is each assignment worth?,"Your final grade will be made up of three different assessments.  Your one-page memos will count for 30%, your final presentation will count for 30%, and your overall class participation will count for 40%.","One-page memos 30% 
",Final presentation 30%,Overall class participation 40% ,,,,,,,
pvpmV8vbhgG74X9Z,Most Recent P132 Syllabus - Spring 2022,multi factual,What tools and supplies are needed for class? ,"There are several tools needed - Moodle, iClicker, Edfinity Homework System, Textbook and Discord. iClicker has a cost of $30 and Edfinity Homework System is $23.25. The other tools are free. ","Moodle - Free I will use Moodle extensively for:
● Hub for all other tools
● Surveys
● Posting slides and other resources
● Extra credit opportunities.
Make sure you are accessing the new cloud-based moodle at
https://umass.moonami.com/","iClicker - Approx $30.00 In this class, we will be using iClickers for the homework quizzes and for other questions in class. You can use either the physical clicker OR the iClicker cloud app. will need to register your iClicker to this course using the iClicker
block on Moodle","Edfinity Homework System - $23.25
We will use a different homework system in this course relative to
131. You will need to get an account on this system. Instructions
will be available on Moodle. However, the homework is also fully
integrated into the textbook mentioned below","Textbook - Free We have custom free textbook specifically designed for this course. The textbook is located at http://openbooks.library.umass.edu/
toggerson-132/ and has videos, simulations, as well as the homework integrated","Discord - Free To provide support on homework and labs as well as a forum for asking questions during class, I have setup a discord server at &lt;LINK_DISCORD&gt; for this class.
You can either signup with your personal Discord login or use the box on the Moodle page directly as a guest. ",,,,,
1JW82KgJEgbvx295,796 Syllabus,summarization,Summarize the learning goals for this course.,"Students will gain a strong foundation in theories, research findings, and methodologies in the Learning Sciences. They will critically analyze existing knowledge, identify areas for further inquiry, and explore diverse perspectives. They will retrieve, evaluate, and interpret literature to develop their own research projects and hypotheses. Students will design realistic research projects, conduct independent research, and analyze resulting data. They will communicate their findings effectively through reports for different audiences and engage in ethical research practices.","Knowledge
1. Students will acquire a strong foundation in current and past theories, research findings, and
methodologies in the Learning Sciences. They will use critical thinking skills to synthesize existing knowledge, evaluate strengths and limitations in existing theory and research, and identify
issues in need of additional inquiry—including theoretical and methodological approaches available to address these issues.
2. Students will demonstrate a knowledge of and sensitivity to human diversity in terms of individual abilities and orientations and sociocultural backgrounds.","Research / Evaluation
1. Students will retrieve, evaluate, and interpret Learning Sciences literature; they will use this
information to develop or adapt theoretical frameworks and derive testable hypotheses or predictions for their own research projects.
2. Students will learn to design realistic and feasible research projects in the Learning Sciences and
to prepare necessary protocols that are sensitive to the backgrounds of individuals who are the
focus of their work.
3. Students will conduct independent research and analyze and interpret resulting data.
","Communication
1. Students will create clear and concise reports of their research projects that are appropriate to
Learning Sciences audiences, which include fellow Learning Sciences scholars (via scholarly
journals), practitioners (via practitioner journals or reports), and lay audiences (via online or
other published reports).
2. Students will learn to communicate effectively in verbal presentations and discussions with fellow students and Learning Sciences researchers.","Ethical Conduct
1. Students will conduct their research projects in accordance with ethical standards established in
educational psychology and Learning Sciences fields.",,,,,,
5B2HKnSL2aRvaopd,ResEcon-213-Fall-2022,single factual,What is the text book requirement for the course?,"The text book is Applied Statistics in Business, 7th Edition. with authors David P. Doane, and Lori E. Seward.","Text: Applied Statistics in Business & Economics by David P. Doane and Lori E. Seward, 7th edition",,,,,,,,,
1seXJLKmeN5bti5f,Syllabus_Spmgt461_DataAnalytics,single factual,What is the purpose of course assessments?,Yes,The learning value of course assessments is the quantitative feedback they provide.,,,,,,,,,
QNWnYJzLMRmEye1y,BCH8016 Solid State Analysis (SYL) 012219 - revised,yes/no,Is the medium of instruction in English?,Yes,Medium of Instruction: English,,,,,,,,,
G1R0EBmtdDTJHlSp,2023_Chem122_syllabus,summarization,Could you elaborate on the academic assessment grading?,"Lectures are for 250 points, problem sets 400 points, and homework is worth 250 points, for a total of 10% of the grade. The midterm exam is for 600 points, and the final exam is worth 500 points, accounting for 70% of the final grade. The lab exam is worth 500 points, or 20% of your overall grade.","Lectures are for 250 points, problem sets are worth 400 points, and homework is worth 250 points, totaling 10% of the mark.","The midterm test is for 600 points, and the final exam is worth 500 points, calculating 70% of the mark.","The lab test is worth 500 points, or 20% of the total grade.",,,,,,,
Zbzf3CPSzq1r0Kn2,270 Syllabus Fall 2022 (1),yes/no,Is there a policy on academic honesty for this course?,Yes,There is a policy on academic honesty for this course.,,,,,,,,,
BwhV0OAJSXaRdxRu,EME6651-SP2023_Syllabus,summarization,What are the administrative details on analytics assignments?,"Analytics assignments are released during every other module (starting with module 1) and are due during the following module. They are project-based and involve students applying analytics methods and models to draw inferences from real-world education datasets. Each submission will include the data used for the assignment (and any modifications made), the RapidMiner process, and a minimum 1-page report describing the methods and interpretations of results. ",Analytics assignments are released during every other module (starting with module 1) and are due during the following module.,Analytics assignments are project-based and involve students applying analytics methods and models to draw inferences from real-world education datasets.,"Analytics assignment submissions will include the data used for the assignments (and any modifications made), the RapidMiner process, and a minimum 1-page report describing the methods and interpretations of results.",,,,,,,
